,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
3299, The Royal Marsden NHS Foundation Trust , 212 ," 16,304 ", 586 , 175 , * , 34 , 7 , * , 111 , 228 , 907 , 129 , 32 , 442 , -   , -   , 18 , 576 , 249 ," 2,316 ",1314,RPY, -   ,,
3300, The Royal Orthopaedic Hospital NHS Foundation Trust , 7 ," 1,726 ", 9 , * , -   , 606 , -   , -   , * , * , -   , 70 ," 9,808 ", * , -   , -   , 255 , 8 ," 1,330 ", 543 ,1314,RRJ, -   ,,
3301, The Royal Wolverhampton NHS Trust ," 2,983 "," 18,799 "," 2,385 "," 1,706 ", 474 ," 1,626 "," 4,293 ", 484 ," 8,120 "," 6,305 "," 11,441 "," 1,678 "," 7,011 "," 5,987 "," 8,695 "," 1,529 ", 503 ," 10,066 "," 5,076 "," 7,235 ",1314,RL4, -   ,,
3302, The Spencer Wing , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   ," 1,927 ", -   , -   ,1314,NN801, -   ,,
3303, The Walton Centre NHS Foundation Trust , 13 , 706 , 25 , 18 , 22 ," 3,474 ", 80 , * , 667 , 7 , 7 , 13 ," 3,208 ", 14 , * , -   , 192 , 864 , 663 , 459 ,1314,RET, -   ,,
3304, The Westbourne Centre , * , 13 , -   , * , -   , 18 , 125 , -   , * , * , 145 , 21 , 42 , 13 , -   , -   , 10 , -   , 6 , 69 ,1314,NVC44, -   ,,
3305, The Whittington Hospital NHS Trust ," 1,165 "," 3,797 "," 3,141 ", 946 , 575 , 604 , 54 , 86 ," 1,765 "," 2,602 "," 7,052 "," 1,186 "," 3,566 "," 3,861 "," 8,771 "," 1,646 ", 128 ," 6,260 "," 3,457 "," 4,939 ",1314,RKE, -   ,,
3306, The Yorkshire Clinic , 92 , 696 , 30 , * , * , 454 , 836 , 76 , 523 , 219 ," 1,717 ", 459 ," 2,494 ", 817 , * , -   , 28 , 578 , 81 , 327 ,1314,NVC20, -   ,,
3307, Torbay and Southern Devon Health and Care NHS Trust , 111 , 321 , 164 , 121 , 34 , 102 , * , 18 , 567 , 546 , 210 , 159 , 259 , 371 , -   , -   , * , 431 , 958 , 92 ,1314,R1G, -   ,,
3308, Tyneside Surgical Services At The North East NHS Surgery Centre , 7 , 14 , * , -   , -   , 31 , -   , -   , 26 , -   , 105 , 19 , 892 , 24 , -   , -   , * , 22 , * , 15 ,1314,NN401, -   ,,
3309, United Lincolnshire Hospitals NHS Trust ," 3,224 "," 23,072 "," 2,441 "," 1,907 ", 472 ," 2,465 "," 5,449 ", 593 ," 9,316 "," 8,353 "," 17,159 "," 2,448 "," 11,974 "," 9,013 "," 10,730 "," 1,495 ", 414 ," 16,361 "," 10,329 "," 9,630 ",1314,RWD, -   ,,
3310, University College London Hospitals NHS Foundation Trust ," 2,200 "," 35,052 "," 5,979 "," 2,162 ", 891 ," 13,936 ", 730 ," 1,266 "," 8,592 "," 5,208 "," 17,558 "," 1,483 "," 9,758 "," 7,050 "," 12,457 "," 3,647 "," 1,496 "," 11,368 "," 5,020 "," 11,906 ",1314,RRV, -   ,,
3311, University Hospital Of North Staffordshire NHS Trust ," 3,570 "," 21,211 "," 1,949 "," 2,039 "," 1,001 "," 5,097 "," 3,335 ", 834 ," 12,249 "," 11,339 "," 17,792 "," 2,756 "," 6,719 "," 8,852 "," 17,403 "," 3,018 ", 646 ," 16,397 "," 11,264 "," 10,134 ",1314,RJE, -   ,,
3312, University Hospital Of South Manchester NHS Foundation Trust ," 2,131 "," 9,704 ", 706 ," 1,289 ", 472 ," 1,641 ", 91 , 442 ," 9,531 "," 7,669 "," 9,787 "," 2,237 "," 7,941 "," 6,723 "," 6,249 "," 2,151 ", 844 ," 8,997 "," 8,158 "," 6,670 ",1314,RM2, -   ,,
3313, University Hospital Southampton NHS Foundation Trust ," 3,350 "," 17,084 "," 2,104 "," 1,710 ", 924 ," 4,655 "," 4,993 ", 730 ," 9,356 "," 7,288 "," 10,639 "," 1,954 "," 7,224 "," 7,408 "," 7,746 "," 1,593 "," 2,548 "," 16,687 "," 11,009 "," 10,365 ",1314,RHM, -   ,,
3314, University Hospitals Birmingham NHS Foundation Trust ," 2,269 "," 14,798 "," 1,953 "," 2,537 ", 526 ," 4,272 "," 4,477 ", 611 ," 9,482 "," 5,411 "," 13,994 "," 2,310 "," 7,119 "," 5,212 ", 307 , -   , 790 ," 11,927 "," 10,403 "," 3,939 ",1314,RRK-X, -   ,,
3315, University Hospitals Bristol NHS Foundation Trust ," 2,519 "," 17,341 "," 2,251 "," 2,758 ", 723 ," 1,755 "," 8,363 "," 1,064 "," 9,102 "," 6,625 "," 14,009 "," 1,574 "," 3,131 "," 3,300 "," 11,998 "," 2,577 "," 2,494 "," 10,420 "," 7,796 "," 9,335 ",1314,RA7, -   ,,
3316, University Hospitals Coventry and Warwickshire NHS Trust ," 2,866 "," 19,319 "," 2,818 "," 2,177 "," 1,135 "," 3,744 "," 4,609 ", 730 ," 8,463 "," 7,273 "," 14,537 "," 2,150 "," 11,465 "," 8,968 "," 12,639 "," 2,789 ", 689 ," 15,088 "," 11,825 "," 9,071 ",1314,RKB, -   ,,
3317, University Hospitals Of Leicester NHS Trust ," 3,980 "," 31,919 "," 3,764 "," 3,304 ", 858 ," 6,835 "," 5,752 "," 1,318 "," 15,077 "," 11,307 "," 22,521 "," 2,922 "," 12,339 "," 12,744 "," 24,934 "," 1,956 "," 1,775 "," 24,811 "," 11,635 "," 23,372 ",1314,RWE, -   ,,
3318, University Hospitals Of Morecambe Bay NHS Foundation Trust ," 2,144 "," 10,502 "," 1,013 ", 914 , 720 ," 1,853 "," 4,142 ", 578 ," 6,507 "," 6,086 "," 11,892 "," 1,658 "," 7,877 "," 5,581 "," 4,969 "," 1,243 ", 515 ," 10,589 "," 6,536 "," 5,952 ",1314,RTX, -   ,,
3319, Virgin Care Services Ltd , 18 , 17 , 13 , 11 , 8 , 51 , -   , -   , 104 , 69 , 30 , 29 , 67 , 62 , -   , -   , * ," 1,029 ", 245 , * ,1314,NDA01, -   ,,
3320, Walsall Healthcare NHS Trust ," 1,627 "," 5,928 "," 1,201 "," 1,234 ", 443 , 775 , 967 , 373 ," 4,388 "," 4,551 "," 7,544 "," 1,093 "," 5,849 "," 4,733 "," 8,741 "," 1,270 ", 188 ," 7,711 "," 3,383 "," 6,261 ",1314,RBK, -   ,,
3321, Warrington and Halton Hospitals NHS Foundation Trust ," 1,882 "," 4,489 "," 1,344 "," 1,874 ", 680 ," 1,177 "," 4,550 ", 376 ," 4,792 "," 4,486 "," 10,610 "," 1,266 "," 8,059 "," 5,298 "," 5,715 "," 1,814 ", 287 ," 10,315 "," 6,113 "," 4,210 ",1314,RWW, -   ,,
3322, West Hertfordshire Hospitals NHS Trust ," 2,667 "," 7,016 "," 1,631 "," 1,514 ", 625 ," 1,446 "," 1,840 ", 404 ," 5,953 "," 5,361 "," 11,172 "," 1,821 "," 8,448 "," 6,275 "," 9,932 "," 2,683 ", 667 ," 14,346 "," 6,094 "," 7,000 ",1314,RWG, -   ,,
3323, West London Mental Health NHS Trust , -   , -   , -   , -   , 883 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 68 , -   , -   ,1314,RKL, -   ,,
3324, West Middlesex University Hospital NHS Trust ," 1,388 "," 1,209 ", 586 , 451 , 455 , 569 , 78 , 319 ," 1,702 "," 3,391 "," 6,392 ", 985 ," 2,920 "," 3,043 "," 6,695 "," 1,071 ", 227 ," 8,004 "," 3,650 "," 4,673 ",1314,RFW, -   ,,
3325, West Midlands Hospital , 58 , 51 , 20 , * , -   , 79 , 165 , * , 76 , 53 , 696 , 41 ," 1,287 ", 397 , * , -   , * , 107 , 16 , 42 ,1314,NVC21, -   ,,
3326, West Suffolk NHS Foundation Trust ," 1,594 "," 10,041 ", 560 , 634 , 284 , 846 ," 2,581 ", 467 ," 3,315 "," 4,248 "," 6,464 "," 1,989 "," 3,989 "," 4,742 "," 3,707 ", 742 , 217 ," 5,448 "," 3,980 "," 2,937 ",1314,RGR, -   ,,
3327, Western Sussex Hospitals NHS Foundation Trust ," 2,608 "," 15,901 "," 2,651 "," 1,725 ", 820 ," 2,554 "," 5,130 ", 472 ," 8,584 "," 6,116 "," 16,898 "," 2,496 "," 8,351 "," 7,575 "," 6,743 "," 1,197 ", 184 ," 13,413 "," 8,676 "," 7,913 ",1314,RYR-X, -   ,,
3328, Weston Area Health NHS Trust , 646 ," 6,018 ", 774 , 592 , 207 , 476 , 35 , 28 ," 1,865 "," 2,050 "," 3,987 ", 822 ," 2,184 "," 2,492 ", 526 , 120 , 25 ," 4,880 "," 2,306 "," 2,085 ",1314,RA3, -   ,,
3329, White Horse Health Centre - IHG , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , 42 , -   , -   , -   , -   , -   , -   , -   , -   , 39 ,1314,NXP17, -   ,,
3330, Will Adams NHS Treatment Centre , 12 , 170 , 9 , * , -   , 38 ," 1,459 ", -   , 163 , -   , 972 , 126 , 169 , 37 , -   , -   , 8 , 198 , * , 49 ,1314,NTP16, -   ,,
3331, Winfield Hospital , 81 , 82 , 39 , * , -   , 125 , -   , * , 96 , 53 , 628 , 28 ," 1,332 ", 213 , -   , -   , 8 , 169 , 44 , 20 ,1314,NVC22, -   ,,
3332, Wirral University Teaching Hospital NHS Foundation Trust ," 2,598 "," 8,487 "," 1,666 "," 2,593 "," 1,063 "," 1,768 "," 3,580 ", 651 ," 6,341 "," 6,694 "," 14,709 "," 2,242 "," 7,490 "," 8,721 "," 7,532 "," 1,743 ", 361 ," 15,339 "," 7,772 "," 5,741 ",1314,RBL, -   ,,
3333, Wisdom Hospice , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 95 , -   , -   ,1314,NQ719, -   ,,
3334, Woodland Hospital , 34 , 127 , 30 , * , * , 56 , 763 , 29 , 113 , 81 ," 1,104 ", 50 ," 1,599 ", 721 , -   , -   , * , 191 , 46 , 77 ,1314,NVC23, -   ,,
3335, Woodlands Hospice Charitable Trust , -   , 266 , 17 , * , -   , * , -   , -   , * , 10 , 6 , * , 7 , * , -   , -   , -   , 11 , * , -   ,1314,8E339, -   ,,
3336, Worcestershire Acute Hospitals NHS Trust ," 2,357 "," 18,428 "," 2,447 "," 1,741 ", 520 ," 2,322 "," 8,041 ", 746 ," 8,535 "," 7,900 "," 17,171 "," 2,102 "," 8,952 "," 8,411 "," 10,851 "," 1,724 ", 257 ," 14,069 "," 8,601 "," 8,344 ",1314,RWP-X, -   ,,
3337, Worcestershire Health and Care NHS Trust , 29 , 521 , 114 , 34 , 641 , 121 , * , * , 364 , 300 , 95 , 67 , 150 , 308 , -   , -   , * ," 3,555 ", 518 , 9 ,1314,R1A, -   ,,
3338," Wrightington, Wigan and Leigh NHS Foundation Trust "," 1,450 "," 7,534 "," 1,984 "," 1,908 ", 656 ," 1,427 "," 4,820 ", 324 ," 4,806 "," 3,690 "," 10,435 "," 1,203 "," 12,587 "," 3,497 "," 4,685 "," 1,053 ", 385 ," 9,003 "," 6,806 "," 4,290 ",1314,RRF, -   ,,
3339, Wrs Pms Plus Limited , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 208 , -   , -   ,1314,NEQ01, -   ,,
3340, Wye Valley NHS Trust , 933 ," 4,751 ", 502 , 764 , 185 , 794 ," 2,434 ", 376 ," 2,573 "," 2,982 "," 3,917 "," 1,059 "," 4,519 "," 2,938 "," 3,370 ", 929 , * ," 3,987 "," 2,675 "," 4,055 ",1314,RLQ, * ,,
3341, Yeovil District Hospital NHS Foundation Trust , 938 ," 5,629 ", 724 , 568 , 206 , 719 ," 1,316 ", 109 ," 2,266 "," 1,943 "," 5,588 "," 1,010 "," 3,019 "," 2,092 "," 2,683 ", 260 , 72 ," 4,755 "," 3,513 "," 2,855 ",1314,RA4, -   ,,
3342, York Teaching Hospital NHS Foundation Trust ," 3,254 "," 18,287 "," 3,160 "," 3,941 ", 768 ," 2,588 "," 5,484 ", 758 ," 8,968 "," 7,462 "," 17,962 "," 2,062 "," 9,964 "," 8,916 "," 9,857 "," 1,339 ", 311 ," 15,184 "," 8,402 "," 11,321 ",1314,RCB, -   ,,
3343, Your Healthcare , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 449 , -   , -   ,1314,NNV01, -   ,,
3344,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3345,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3346,,,,,,,,,,,,,,,,,,,,,,1314,*Small numbers,,,
3347,,,,,,,,,,,,,,,,,,,,,,1314,"To protect patient confidentiality, figures between 1 and 5 have been suppressed and replaced with â*â (an asterisk). Where it was possible to identify numbers from the total due to a single suppressed number in a row or column, an additional number (the next smallest) has been suppressed.",,,
3348,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3349,,,,,,,,,,,,,,,,,,,,,,1314,"Copyright Â© 2015, The Health and Social Care Information Centre. HES Analysis. All Rights Reserved.",,,
3350,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3351,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3352,,,,,,,,,,,,,,,,,,,,,,1314,Responsible statistician:,,,
3353,,,,,,,,,,,,,,,,,,,,,,1314,"Jane Winter, HES Analysis  Section Head",,,
3354,,,,,,,,,,,,,,,,,,,,,,1314,Contact via enquiries@hscic.gov.uk or 0300 303 5678,,,
3355,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3356,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3357,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3358,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3359,,,,,,,,,,,,,,,,,,,,,,1314,,,,
3360, England ," 351,645 "," 1,846,993 "," 308,119 "," 247,241 "," 179,305 "," 366,920 "," 708,728 "," 82,720 "," 969,783 "," 941,282 "," 1,928,475 "," 316,390 "," 1,321,636 "," 927,913 "," 1,247,770 "," 243,590 "," 107,143 "," 1,690,942 "," 1,012,886 "," 1,092,968 ",1415,, 8 ,All,
3361,,,,,,,,,,,,,,,,,,,,,,1415,,,,
3362," ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE AREA TEAM "," 8,523 "," 66,431 "," 7,339 "," 6,716 "," 4,579 "," 8,678 "," 20,172 "," 2,245 "," 24,796 "," 25,301 "," 51,211 "," 8,537 "," 38,199 "," 28,048 "," 32,708 "," 7,904 "," 1,593 "," 49,102 "," 29,658 "," 27,126 ",1415,, - ,Q53,E39000010
3363," BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE AREA TEAM "," 8,708 "," 51,767 "," 6,803 "," 4,830 "," 2,925 "," 9,046 "," 15,301 "," 2,568 "," 23,567 "," 24,532 "," 53,344 "," 7,066 "," 37,580 "," 21,829 "," 32,277 "," 6,141 "," 1,464 "," 44,610 "," 29,549 "," 26,393 ",1415,, - ,Q64,E39000019
3364, BIRMINGHAM AND THE BLACK COUNTRY AREA TEAM ," 20,083 "," 104,063 "," 16,005 "," 14,113 "," 9,392 "," 17,013 "," 39,696 "," 4,180 "," 48,614 "," 54,752 "," 83,598 "," 17,214 "," 69,174 "," 44,591 "," 80,898 "," 15,194 "," 8,727 "," 99,306 "," 52,146 "," 54,801 ",1415,, - ,Q54,E39000011
3365," BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM "," 7,791 "," 65,086 "," 9,336 "," 6,571 "," 3,064 "," 8,978 "," 20,083 "," 2,257 "," 25,733 "," 22,382 "," 49,394 "," 8,689 "," 30,707 "," 23,507 "," 37,389 "," 8,306 "," 3,716 "," 47,957 "," 31,183 "," 28,475 ",1415,, 2 ,Q65,E39000020
3366," CHESHIRE, WARRINGTON AND WIRRAL AREA TEAM "," 10,328 "," 27,184 "," 6,681 "," 6,511 "," 5,822 "," 5,784 "," 19,486 "," 2,181 "," 21,170 "," 24,219 "," 53,836 "," 6,965 "," 24,658 "," 23,710 "," 31,535 "," 6,504 ", 987 ," 50,504 "," 25,616 "," 22,900 ",1415,, - ,Q44,E39000001
3367," CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR AREA TEAM "," 16,911 "," 97,779 "," 12,688 "," 11,535 "," 5,543 "," 17,241 "," 41,063 "," 4,174 "," 45,254 "," 44,175 "," 93,081 "," 15,241 "," 63,280 "," 47,547 "," 33,471 "," 7,191 "," 5,545 "," 62,884 "," 42,747 "," 45,895 ",1415,, - ,Q49,E39000006
3368, DERBYSHIRE AND NOTTINGHAMSHIRE AREA TEAM ," 13,057 "," 76,776 "," 11,175 "," 9,045 "," 6,687 "," 13,003 "," 18,305 "," 2,950 "," 29,658 "," 30,342 "," 59,569 "," 12,462 "," 54,178 "," 30,463 "," 54,029 "," 5,431 "," 3,041 "," 60,023 "," 36,483 "," 44,731 ",1415,, - ,Q55,E39000012
3369," DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM "," 10,607 "," 86,409 "," 10,700 "," 7,695 "," 4,497 "," 11,468 "," 24,719 "," 2,815 "," 34,619 "," 27,577 "," 62,142 "," 9,838 "," 40,484 "," 28,900 "," 34,732 "," 7,194 "," 1,888 "," 53,563 "," 38,267 "," 28,764 ",1415,, - ,Q66,E39000021
3370," DURHAM, DARLINGTON AND TEES AREA TEAM "," 10,915 "," 48,827 "," 8,034 "," 5,560 "," 3,318 "," 7,975 "," 16,118 "," 2,093 "," 23,161 "," 25,165 "," 46,650 "," 9,531 "," 31,134 "," 19,548 "," 25,089 "," 3,798 "," 1,273 "," 39,888 "," 24,140 "," 25,538 ",1415,, - ,Q45,E39000002
3371, EAST ANGLIA AREA TEAM ," 16,717 "," 120,093 "," 15,102 "," 11,575 "," 8,262 "," 20,031 "," 43,837 "," 4,492 "," 54,208 "," 49,308 "," 87,328 "," 16,202 "," 56,206 "," 42,259 "," 52,339 "," 11,063 "," 4,769 "," 72,696 "," 46,886 "," 51,308 ",1415,, - ,Q56,E39000013
3372, ESSEX AREA TEAM ," 9,237 "," 65,275 "," 8,815 "," 5,752 "," 4,024 "," 8,952 "," 16,787 "," 2,288 "," 29,374 "," 26,602 "," 49,825 "," 9,973 "," 38,485 "," 28,372 "," 39,892 "," 7,008 "," 1,642 "," 49,148 "," 29,013 "," 34,358 ",1415,, - ,Q57,E39000014
3373, GREATER MANCHESTER AREA TEAM ," 23,537 "," 79,214 "," 19,839 "," 19,856 "," 14,649 "," 21,427 "," 46,433 "," 5,122 "," 56,668 "," 62,823 "," 117,326 "," 16,443 "," 78,355 "," 54,503 "," 77,821 "," 16,964 "," 7,036 "," 91,331 "," 59,945 "," 60,651 ",1415,, 1 ,Q46,E39000003
3374, HERTFORDSHIRE AND THE SOUTH MIDLANDS AREA TEAM ," 15,215 "," 57,195 "," 11,137 "," 9,276 "," 6,313 "," 9,854 "," 25,261 "," 3,433 "," 35,565 "," 40,346 "," 80,379 "," 10,943 "," 45,061 "," 37,603 "," 58,491 "," 11,211 "," 2,889 "," 83,819 "," 37,714 "," 47,352 ",1415,, - ,Q58,E39000015
3375, KENT AND MEDWAY AREA TEAM ," 10,157 "," 34,128 "," 6,192 "," 6,025 "," 5,013 "," 7,854 "," 23,400 "," 2,560 "," 26,793 "," 28,862 "," 58,348 "," 8,989 "," 43,425 "," 30,653 "," 31,382 "," 6,701 "," 1,363 "," 59,666 "," 30,052 "," 32,770 ",1415,, - ,Q67,E39000022
3376, LANCASHIRE AREA TEAM ," 12,776 "," 45,910 "," 7,624 "," 6,006 "," 5,763 "," 11,438 "," 19,183 "," 2,620 "," 31,975 "," 32,518 "," 60,982 "," 12,258 "," 58,649 "," 28,434 "," 37,473 "," 6,070 "," 1,943 "," 46,798 "," 32,253 "," 34,170 ",1415,, - ,Q47,E39000004
3377, LEICESTERSHIRE AND LINCOLNSHIRE AREA TEAM ," 8,420 "," 60,570 "," 7,174 "," 5,507 "," 4,422 "," 10,265 "," 16,431 "," 2,094 "," 25,795 "," 23,319 "," 45,455 "," 6,646 "," 30,920 "," 23,452 "," 34,386 "," 3,816 "," 2,306 "," 43,592 "," 22,441 "," 29,891 ",1415,, - ,Q59,E39000016
3378, LONDON AREA TEAM ," 51,879 "," 232,583 "," 58,107 "," 41,869 "," 37,526 "," 72,748 "," 88,304 "," 11,011 "," 144,967 "," 131,235 "," 293,250 "," 46,895 "," 165,769 "," 148,524 "," 230,141 "," 49,427 "," 28,579 "," 245,019 "," 136,217 "," 190,628 ",1415,, 3 ,Q71,E39000018
3379, MERSEYSIDE AREA TEAM ," 8,257 "," 42,670 "," 9,021 "," 8,213 "," 7,068 "," 10,828 "," 19,509 "," 1,955 "," 30,811 "," 25,095 "," 57,229 "," 10,643 "," 38,796 "," 26,808 "," 30,537 "," 4,629 "," 5,553 "," 48,903 "," 33,493 "," 27,799 ",1415,, - ,Q48,E39000005
3380, NORTH YORKSHIRE AND HUMBER AREA TEAM ," 10,095 "," 71,844 "," 10,078 "," 8,405 "," 4,934 "," 10,040 "," 22,425 "," 2,585 "," 31,928 "," 29,456 "," 71,291 "," 8,678 "," 47,816 "," 28,758 "," 31,748 "," 7,700 "," 2,062 "," 48,372 "," 28,594 "," 30,946 ",1415,, - ,Q50,E39000007
3381, SHROPSHIRE AND STAFFORDSHIRE AREA TEAM ," 10,190 "," 61,038 "," 8,103 "," 6,342 "," 3,998 "," 12,105 "," 13,506 "," 2,571 "," 27,299 "," 29,178 "," 52,883 "," 8,176 "," 46,224 "," 23,725 "," 32,339 "," 6,164 "," 1,687 "," 44,405 "," 27,912 "," 27,871 ",1415,, - ,Q60,E39000017
3382, SOUTH YORKSHIRE AND BASSETLAW AREA TEAM ," 10,901 "," 64,966 "," 11,292 "," 7,636 "," 4,140 "," 12,730 "," 30,658 "," 2,730 "," 32,851 "," 32,058 "," 70,385 "," 10,537 "," 42,494 "," 27,458 "," 40,026 "," 8,337 "," 3,918 "," 57,939 "," 30,392 "," 28,605 ",1415,, - ,Q51,E39000008
3383, SURREY AND SUSSEX AREA TEAM ," 15,553 "," 83,036 "," 14,162 "," 9,916 "," 8,945 "," 17,108 "," 36,010 "," 3,947 "," 49,490 "," 42,501 "," 104,955 "," 16,350 "," 80,745 "," 47,008 "," 45,534 "," 10,587 "," 2,944 "," 86,992 "," 55,075 "," 47,907 ",1415,, - ,Q68,E39000023
3384, THAMES VALLEY AREA TEAM ," 12,490 "," 61,945 "," 8,967 "," 7,345 "," 2,623 "," 12,433 "," 18,942 "," 2,510 "," 28,865 "," 27,203 "," 57,823 "," 10,751 "," 42,099 "," 28,949 "," 40,474 "," 8,306 "," 3,701 "," 55,586 "," 36,366 "," 39,548 ",1415,, - ,Q69,E39000024
3385, WESSEX AREA TEAM ," 14,626 "," 71,266 "," 12,092 "," 9,169 "," 8,308 "," 16,904 "," 40,871 "," 3,579 "," 45,367 "," 39,602 "," 88,560 "," 13,027 "," 58,204 "," 41,874 "," 39,471 "," 9,158 "," 3,887 "," 74,032 "," 47,441 "," 48,219 ",1415,, 2 ,Q70,E39000025
3386, WEST YORKSHIRE AREA TEAM ," 14,672 "," 70,938 "," 11,653 "," 11,773 "," 7,490 "," 13,017 "," 32,228 "," 3,760 "," 41,255 "," 42,731 "," 79,631 "," 14,336 "," 58,973 "," 41,390 "," 63,588 "," 8,786 "," 4,630 "," 74,807 "," 49,303 "," 56,320 ",1415,, - ,Q52,E39000009
3387,,,,,,,,,,,,,,,,,,,,,,1415,,,,
3388,2Gether NHS Foundation Trust, - , - , - , - ," 1,028 ", 6 , - , - , - , * , - , - , - , - , - , - , - , 34 , - , 29 ,1415,, * ,RTQ,
3389,5 Boroughs Partnership NHS Foundation Trust, - , - , - , - ," 2,230 ", 179 , - , - , - , - , - , - , - , - , - , - , - , 79 , - , 193 ,1415,, - ,RTV,
3390,Aintree University Hospital NHS Foundation Trust," 1,366 "," 9,169 "," 2,514 "," 1,429 ", 797 ," 1,731 "," 3,659 ", 389 ," 5,444 "," 6,166 "," 15,680 "," 2,277 "," 6,094 "," 4,744 ", 40 , - , 139 ," 10,231 "," 6,362 "," 4,318 ",1415,, - ,REM,
3391,Airedale NHS Foundation Trust," 1,701 "," 9,142 "," 1,283 "," 1,135 ", 238 , 778 ," 1,490 ", 208 ," 3,617 "," 3,423 "," 7,573 ", 874 ," 2,699 "," 4,794 "," 7,139 ", 537 , 107 ," 5,597 "," 2,939 "," 6,044 ",1415,, - ,RCF,
3392,Alder Hey Children's NHS Foundation Trust," 1,082 "," 4,465 ", 713 ," 1,274 ", 108 ," 1,247 ", 572 , 545 , 286 ," 2,646 "," 4,207 ", 842 ," 2,513 "," 1,850 ", - , 650 ," 4,085 "," 3,306 "," 3,352 "," 2,000 ",1415,, - ,RBS,
3393,Ashford And St Peter's Hospitals NHS Foundation Trust," 1,754 "," 6,159 "," 1,409 "," 1,324 ", 294 ," 1,369 "," 3,806 ", 326 ," 6,078 "," 4,342 "," 11,313 "," 1,334 "," 7,250 "," 4,822 "," 6,144 "," 1,679 ", 249 ," 6,523 "," 3,838 "," 4,882 ",1415,, - ,RTK,
3394,Ashtead Hospital, 30 , 110 , 29 , * , - , 120 , 208 , * , 208 , 57 , 884 , 30 ," 2,033 ", 158 , - , - , * , 209 , 22 , 59 ,1415,, - ,NVC01,
3395,Aspen - Claremont Hospital, * , 22 , - , * , - , 74 , 99 , * , 82 , 30 , 350 , 19 ," 2,248 ", 139 , * , - , 6 , 6 , 30 , * ,1415,, - ,NYW04,
3396,Aspen - Highgate Hospital, * , 11 , - , - , - , 11 , - , * , * , 10 , 45 , 26 , 261 , 53 , - , - , * , 14 , * , * ,1415,, - ,NYW03,
3397,Aspen - Holly House Hospital, * , 83 , - , * , - , 45 , - , 21 , * , 116 , 194 , 29 , 894 , 441 , - , - , 7 , 60 , 38 , 19 ,1415,, - ,NYW01,
3398,Aspen - Parkside Hospital, - , * , - , - , - , * , - , 6 , - , 34 , 31 , * , 133 , 12 , - , - , * , - , 16 , * ,1415,, - ,NYW02,
3399,Aspen - The Chelmsford, - , - , - , - , - , - , 28 , - , - , - , - , - , 38 , - , - , - , - , - , - , - ,1415,, - ,NYW20,
3400,Aspen Healthcare - Midland Eye, - , - , - , - , - , - , 597 , - , - , - , - , - , - , - , - , - , - , - , - , - ,1415,, - ,NYW17,
3401,Avon And Wiltshire Mental Health Partnership NHS Trust, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 2,337 ", - , - ,1415,, - ,RVN,
3402,"Barking, Havering And Redbridge University Hospitals NHS Trust"," 3,512 "," 10,143 "," 2,005 "," 1,834 ", 541 ," 2,546 "," 3,879 "," 1,155 "," 7,362 "," 9,778 "," 17,135 "," 3,928 "," 7,611 "," 11,552 "," 11,012 "," 4,875 ", 539 ," 15,294 "," 6,882 "," 8,319 ",1415,, - ,RF4,
