 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1 ROBERT JONES AND AGNES HUNT ORTHOPAEDIC AND DISTRICT HOSPITAL NHS TRUST,7,344,7,11,*,"1,005",*,*,36,10,8,182,"9,758",135,0,0,240,75,"1,463",789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL4 THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,"1,319","17,531","2,209","1,183",343,"1,651","4,195",574,"7,752","5,313","9,584","1,697","6,478","5,890","8,307","1,073",559,"11,412","3,954","7,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLQ HEREFORD HOSPITALS NHS TRUST,668,"3,422",432,750,185,890,"2,060",368,"2,472","2,641","3,736",855,"3,437","2,804","4,820",623,169,"2,857","2,758","2,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT GEORGE ELIOT HOSPITAL NHS TRUST,303,"2,500",393,378,303,725,588,35,"2,414","1,865","5,660",873,"3,915","3,456","3,493",821,177,"4,200","2,984","2,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,*,429,*,15,*,*,0,*,*,0,22,58,*,"2,780","11,089","3,914",699,744,79,"3,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0,6,*,*,"1,512",89,0,0,123,17,*,8,*,11,0,0,0,20,62,"1,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,"1,486","13,417","1,167","1,131",512,"1,862","3,376",641,"5,919","5,588","10,691","2,883","13,391","4,932","14,770","1,930",891,"11,106","5,800","7,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3 BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,"1,212","4,014","1,592","1,306",181,973,538,904,306,"3,418","2,787",779,743,957,0,501,"5,129","2,467","3,579","1,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1-X HEART OF ENGLAND NHS FOUNDATION TRUST,"2,737","21,674","4,117","3,774","1,346","4,203","6,108",990,"13,232","13,603","20,221","3,716","11,349","12,267","35,017","3,667",834,"29,044","11,651","16,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,"2,493",137,0,0,*,0,0,0,*,0,0,0,0,348,*,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,7,"1,855",6,*,0,808,0,0,*,*,*,76,"10,977",*,0,0,258,12,"1,316",506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRK-X UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,642,"13,576","1,347","2,132",491,"2,573","3,117",661,"9,172","4,184","11,759","2,343","5,666","3,974",79,0,808,"9,585","9,706","3,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWP-X WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,"2,159","9,963","1,479","1,477",571,"2,146","6,002",675,"7,716","7,232","13,190","1,925","7,520","7,473","11,934","1,992",539,"12,264","8,808","7,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWQ WORCESTERSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,0,*,0,0,872,59,0,0,*,0,0,0,0,0,0,0,0,"2,101",0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXKTC BIRMINGHAM TREATMENT CENTRE,45,"4,935",55,26,11,295,*,322,559,802,"2,234",413,"2,867","2,269",*,0,123,991,474,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXK-X SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,"2,322","11,120","1,578","1,559","1,160","2,070","8,488",233,"7,834","6,812","11,811","3,675","7,897","6,508","14,688","2,580",961,"14,094","8,214","8,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0,0,0,0,"2,099",102,0,0,0,*,0,0,0,0,0,*,0,*,*,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXW SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,"1,283","16,423","1,828","2,185",265,"1,583","7,296",722,"6,778","5,842","15,559","1,764","4,927","5,460","6,949","2,206",636,"14,377","6,575","6,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYG COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,*,0,0,0,"2,164",68,0,0,0,*,0,0,0,0,0,0,*,46,*,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYK DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,"1,075",73,0,0,0,0,0,0,0,0,0,0,*,18,*,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ SANDWELL MENTAL HEALTH NHS AND SOCIAL CARE TRUST,0,0,0,0,580,26,0,0,*,0,0,0,0,*,0,0,0,7,*,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,"21,126","169,857","28,410","24,015","16,359","30,669","64,055","9,419","98,924","84,879","187,427","31,897","113,570","92,620","144,533","18,111","10,698","188,614","101,952","122,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5H8 ROTHERHAM PCT,0,192,0,*,31,0,0,0,*,729,*,0,*,*,0,0,*,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5JE BARNSLEY PCT,*,53,6,8,450,155,0,*,205,76,19,15,31,30,0,0,0,111,124,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N5 DONCASTER PCT,*,219,*,*,6,33,0,0,42,24,37,21,33,12,0,0,0,278,128,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NV NORTH YORKSHIRE AND YORK PCT,19,170,93,24,836,162,*,*,182,152,508,65,143,78,0,0,*,"1,196",238,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NW EAST RIDING OF YORKSHIRE PCT,*,205,24,17,*,69,0,0,91,30,15,22,36,22,0,0,*,331,97,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8A101 ST LUKE'S HOSPICE (SHEFFIELD),0,380,0,0,*,7,0,0,6,*,*,0,*,*,0,0,*,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT332 SPIRE LEEDS HOSPITAL,0,*,0,0,0,6,0,0,0,*,7,*,15,17,0,0,0,0,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT348 SPIRE ELLAND HOSPITAL,0,8,*,0,0,*,0,*,*,*,*,*,17,*,0,0,0,*,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT349 SPIRE LONGLANDS CONSULTING ROOMS,0,*,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,*,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT350 SPIRE METHLEY PARK HOSPITAL,0,*,0,0,0,*,0,0,0,0,*,*,14,*,0,0,0,0,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT351 SPIRE HULL AND EAST RIDING HOSPITAL,0,*,0,0,0,0,0,0,*,0,*,*,66,0,0,0,0,32,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT440 BMI - THORNBURY HOSPITAL,*,15,0,*,*,13,0,0,46,0,123,9,35,173,0,0,0,37,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT447 BMI THE DUCHY HOSPITAL,0,0,0,0,0,*,0,0,0,0,*,0,*,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT448 BMI THE HUDDERSFIELD HOSPITAL,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA01 ECCLESHILL NHS TREATMENT CENTRE,16,194,19,0,0,134,*,0,450,0,"2,116",593,345,825,0,0,*,610,0,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTE03 CLAREMONT HOSPITAL,*,*,0,*,0,62,37,37,66,57,300,8,"1,308",160,0,*,*,171,6,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC14 PARK HILL HOSPITAL,*,22,0,0,0,43,198,0,*,*,104,18,566,89,0,0,*,16,59,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC20 THE YORKSHIRE CLINIC,*,440,23,24,0,155,636,67,218,150,"1,104",319,"2,247",641,*,0,19,303,33,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC28 CLIFTON PARK NHS TREATMENT CENTRE,0,*,0,0,0,160,0,0,8,7,25,*,"3,257",0,0,0,*,38,21,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAE BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,"1,279","10,751","2,481","1,613",739,"1,651","4,662","1,221","6,634","6,662","13,074","2,784","7,725","6,232","13,994","1,313",732,"12,233","8,486","9,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCB YORK HOSPITALS NHS FOUNDATION TRUST,891,"6,058","2,132","2,118",302,"1,255","3,429",569,"4,720","3,952","9,354","1,243","5,989","5,069","6,768",787,243,"11,211","5,121","6,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,640,"4,661","1,159",553,210,850,"2,180",192,"3,052","2,381","6,011",611,"3,638","2,611","3,620",604,148,"4,053","2,949","3,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCD HARROGATE AND DISTRICT NHS FOUNDATION TRUST,838,"6,363",685,634,*,907,"3,718",260,"3,568","2,094","5,943",618,"3,454","3,033",*,953,261,"4,267","2,506","3,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF AIREDALE NHS TRUST,866,"5,774","1,088",990,254,859,944,180,"3,117","2,745","6,022",824,"2,977","3,780","7,751",*,*,"5,870","2,714","5,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCU SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,"1,541","1,882",574,545,*,822,280,574,74,"3,364","3,537",544,"1,164",889,*,439,"1,968","2,469","1,887","2,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF BARNSLEY HOSPITAL NHS FOUNDATION TRUST,"1,101","5,095","1,086","1,105",324,885,61,486,"3,963","4,885","8,781","1,910","3,214","3,554","7,538",658,104,"8,518","4,005","5,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFR THE ROTHERHAM NHS FOUNDATION TRUST,"1,098","4,582","1,269",810,323,"1,148","6,506",459,"3,734","4,674","10,589","1,382","4,203","6,071","9,658",789,265,"8,483","4,626","4,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGD LEEDS PARTNERSHIPS NHS FOUNDATION TRUST,0,0,0,*,"1,351",55,0,0,0,0,0,0,0,0,0,0,0,*,0,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHQ SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,"1,463","37,860","4,050","2,620",840,"5,089","7,832",486,"16,994","7,628","24,155","3,463","12,677","12,212","15,387","3,321","1,394","15,075","9,368","9,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL-X NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,"1,379","12,067","2,183",939,265,"1,883","5,048",595,"6,241","5,315","14,848","1,341","6,960","5,764","9,613","1,085",284,"12,795","5,229","9,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP5 DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,"1,889","7,858","2,454","1,200",505,"1,649","5,436",781,"6,915","7,554","14,430","1,940","10,955","5,707","9,999","1,609",358,"12,063","7,065","8,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR8 LEEDS TEACHING HOSPITALS NHS TRUST,"2,468","18,131","3,020","4,641","1,442","4,106","7,974","1,054","13,926","10,283","20,697","4,229","15,431","12,711","18,996","1,757","2,747","31,111","19,085","19,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV9 HUMBER NHS FOUNDATION TRUST,0,0,0,0,558,11,0,0,0,0,0,0,0,0,0,0,0,189,0,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
