,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC21, NVC21 West Midlands Hospital , 6 , 19 , 11 , * , -   , 84 , 33 , * , * , 26 , 273 , 40 , 778 , 329 , -   , -   , * , 79 , 17 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBK, RBK Walsall Healthcare NHS Trust , 852 ," 5,958 "," 1,107 "," 1,244 ", 254 , 837 ," 1,245 ", 465 ," 4,310 "," 4,246 "," 7,215 "," 1,304 "," 5,414 "," 4,014 "," 7,323 ", 937 , 256 ," 5,696 "," 2,939 "," 5,453 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJC, RJC South Warwickshire NHS Foundation Trust , 839 ," 7,500 ", 824 , 908 , 216 , 849 ," 1,401 ", 367 ," 2,133 "," 2,969 "," 5,365 "," 1,027 "," 5,037 "," 3,889 "," 5,826 "," 1,056 ", 182 ," 5,823 "," 3,159 "," 4,237 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJDTC, RJDTC Cannock Chase Treatment Centre , * , 22 , -   , * , -   , 351 , 901 , -   , * , * , -   , 40 ," 3,266 ", -   , -   , -   , * , 6 , 207 , 142 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD-X, RJD-X Mid Staffordshire NHS Foundation Trust ," 1,504 "," 9,441 "," 1,203 ", 738 , 360 , 675 , 48 , 401 ," 2,942 "," 3,529 "," 5,743 "," 1,244 "," 4,162 "," 4,469 "," 6,116 ", 737 , 150 ," 6,342 "," 3,689 "," 4,465 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJE, RJE University Hospital of North Staffordshire NHS Trust ," 2,693 "," 18,338 "," 2,026 "," 1,996 ", 745 ," 4,065 "," 4,432 ", 815 ," 9,873 "," 9,643 "," 16,609 "," 2,939 "," 6,527 "," 9,008 "," 10,956 "," 2,153 "," 1,061 "," 16,193 "," 9,259 "," 10,157 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF, RJF Burton Hospitals NHS Foundation Trust , 893 ," 6,334 "," 1,132 ", 809 , 318 , 720 , 402 , 521 ," 2,682 "," 3,758 "," 6,168 ", 808 ," 2,544 "," 3,030 "," 7,768 ", 856 , 271 ," 6,121 "," 3,616 "," 4,309 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKB, RKB University Hospitals Coventry and Warwickshire NHS Trust ," 1,154 "," 16,881 "," 2,615 "," 2,234 ", 706 ," 3,204 "," 4,088 ", 726 ," 8,244 "," 6,318 "," 15,056 "," 2,057 "," 14,149 "," 8,549 "," 13,879 "," 2,646 ", 742 ," 14,586 "," 9,871 "," 7,992 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1, RL1 Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust , 9 , 402 , 9 , 6 , -   ," 1,062 ", -   , -   , 48 , 9 , * , 171 ," 10,133 ", 140 , -   , * , 209 , 40 ," 1,446 ", 625 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL4, RL4 The Royal Wolverhampton Hospitals NHS Trust ," 1,620 "," 18,079 "," 2,096 "," 1,363 ", 331 ," 1,611 "," 3,945 ", 581 ," 8,147 "," 5,216 "," 9,846 "," 1,671 "," 7,150 "," 6,226 "," 8,932 "," 1,405 ", 636 ," 12,173 "," 4,174 "," 7,317 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLQ, RLQ Wye Valley NHS Trust , 619 ," 3,484 ", 396 , 799 , 188 , 857 ," 1,863 ", 390 ," 2,633 "," 2,660 "," 3,690 ", 907 ," 3,480 "," 2,769 "," 4,649 ", 646 , 169 ," 3,073 "," 2,641 "," 3,667 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT, RLT George Eliot Hospital NHS Trust , 370 ," 2,444 ", 303 , 444 , 286 , 538 , 735 , 29 ," 2,147 "," 1,886 "," 5,753 ", 779 ," 3,153 "," 3,350 "," 3,734 ", 670 , 145 ," 4,482 "," 2,874 "," 3,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU, RLU Birmingham Women's NHS Foundation Trust , 10 , 536 , * , 10 , * , * , * , -   , * , * , 18 , 49 , * ," 2,558 "," 10,841 "," 4,006 ", 274 , 605 , 104 ," 3,918 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY, RLY North Staffordshire Combined Healthcare NHS Trust , -   , -   , * , * ," 1,438 ", 112 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,180 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA, RNA The Dudley Group of Hospitals NHS Foundation Trust ," 1,473 "," 13,172 "," 1,136 "," 1,226 ", 504 ," 1,818 "," 3,540 ", 586 ," 6,033 "," 5,652 "," 10,825 "," 2,519 "," 11,613 "," 4,887 "," 16,114 "," 2,070 ", 703 ," 11,196 "," 6,133 "," 8,373 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3, RQ3 Birmingham Children's Hospital NHS Foundation Trust ," 1,506 "," 4,042 "," 1,730 "," 1,383 ", 266 ," 1,125 ", 548 ," 1,038 ", 340 ," 3,977 "," 3,120 ", 829 , 775 ," 1,040 ", -   , 528 ," 4,893 "," 3,100 "," 3,948 "," 1,067 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR1-X, RR1-X Heart of England NHS Foundation Trust ," 3,214 "," 22,560 "," 4,029 "," 4,056 "," 1,654 "," 4,493 "," 7,057 "," 1,005 "," 13,835 "," 13,697 "," 20,413 "," 3,836 "," 12,194 "," 12,542 "," 34,167 "," 3,076 ", 632 ," 29,200 "," 11,568 "," 17,956 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRE, RRE South Staffordshire and Shropshire Healthcare NHS Foundation Trust , -   , -   , -   , * ," 2,063 ", 39 , -   , -   , * , -   , -   , * , -   , -   , -   , -   , -   , 552 , * , 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ, RRJ The Royal Orthopaedic Hospital NHS Foundation Trust , 13 ," 2,005 ", 13 , * , -   , 700 , -   , -   , * , -   , * , 70 ," 10,461 ", * , -   , -   , 239 , * ," 1,358 ", 553 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRK-X, RRK-X University Hospitals Birmingham NHS Foundation Trust , 662 ," 13,640 "," 1,409 "," 2,232 ", 571 ," 2,992 "," 3,333 ", 595 ," 9,345 "," 4,184 "," 12,008 "," 2,221 "," 5,782 "," 3,948 ", 103 , -   , 776 ," 10,205 "," 9,664 "," 3,070 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWP-X, RWP-X Worcestershire Acute Hospitals NHS Trust ," 1,478 "," 10,600 "," 1,576 "," 1,517 ", 535 ," 2,095 "," 7,241 ", 703 ," 7,719 "," 7,235 "," 13,666 "," 1,943 "," 7,619 "," 7,697 "," 11,772 "," 2,155 ", 513 ," 14,095 "," 8,720 "," 7,928 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWQ, RWQ Worcestershire Mental Health Partnership NHS Trust , -   , -   , -   , * , 966 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,374 ", -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXKTC, RXKTC Birmingham Treatment Centre , 33 ," 5,393 ", 89 , 47 , 22 , 233 , 12 , 263 , 480 , 673 ," 2,040 ", 389 ," 2,502 "," 1,906 ", * , * , 134 ," 1,025 ", 449 , 672 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXK-X, RXK-X Sandwell and West Birmingham Hospitals NHS Trust ," 2,225 "," 10,739 "," 1,785 "," 1,693 "," 1,346 "," 2,085 "," 9,107 ", 234 ," 7,644 "," 7,072 "," 11,484 "," 4,045 "," 8,001 "," 6,388 "," 9,941 "," 2,532 "," 1,287 "," 14,243 "," 8,627 "," 5,877 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXT, RXT Birmingham and Solihull Mental Health NHS Foundation Trust , -   , -   , -   , -   ," 1,795 ", 55 , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , * , -   , 343 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXW, RXW Shrewsbury and Telford Hospital NHS Trust ," 1,596 "," 17,674 "," 1,796 "," 2,246 ", 309 ," 1,782 "," 7,233 ", 763 ," 6,969 "," 6,485 "," 16,061 "," 1,888 "," 5,138 "," 5,805 "," 7,016 "," 2,119 ", 537 ," 12,495 "," 6,530 "," 7,271 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYG, RYG Coventry and Warwickshire Partnership NHS Trust , -   , -   , -   , * ," 1,800 ", 65 , -   , -   , * , * , * , * , * , * , -   , -   , * , 109 , 6 , 80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYK, RYK Dudley and Walsall Mental Health Partnership NHS Trust , -   , -   , * , -   , 892 , 83 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * , 29 , * , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYW, RYW Birmingham Community Healthcare NHS Trust , 13 , 37 , 7 , 7 , 27 , 87 , * , -   , 115 , 72 , 788 , 32 , 66 , 98 , -   , * , 37 , 192 , 176 , 133 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ, TAJ Black Country Partnership NHS Foundation Trust , -   , -   , -   , -   , 479 , 18 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 55 , * , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32, Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY ," 24,081 "," 172,988 "," 27,528 "," 24,881 "," 17,205 "," 30,809 "," 65,671 "," 9,390 "," 99,329 "," 92,767 "," 193,256 "," 32,029 "," 120,219 "," 92,284 "," 144,111 "," 19,100 "," 10,231 "," 190,095 "," 105,025 "," 121,451 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5H8, 5H8 Rotherham PCT , * , 160 , -   , -   , 22 , * , -   , -   , 13 , 757 , -   , -   , -   , * , -   , -   , * , 8 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5JE, 5JE Barnsley PCT , 12 , 43 , 6 , * , 455 , 142 , * , * , 251 , 91 , 33 , 20 , 35 , 23 , -   , -   , * , 32 , 115 , 96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N5, 5N5 Doncaster PCT , * , 69 , -   , -   , * , * , -   , -   , * , * , * , * , * , * , -   , -   , * , 767 , 10 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NV, 5NV North Yorkshire and York PCT , 16 , 167 , 79 , 52 , 854 , 223 , * , * , 159 , 155 , 552 , 35 , 116 , 84 , * , -   , * , 890 , 262 , 418 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NW, 5NW East Riding of Yorkshire PCT , * , 60 , * , 9 , -   , 11 , -   , * , 20 , 16 , 10 , * , 16 , 16 , -   , -   , -   , 141 , 53 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8A101, 8A101 St Luke's Hospice (Sheffield) , * , 342 , -   , -   , -   , * , -   , -   , 9 , * , * , -   , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT225," NT225 Nuffield Health, Leeds Hospital ", * , 33 , * , -   , * , 10 , -   , * , 114 , 102 , 367 , 20 , 957 , 471 , -   , -   , * , 159 , 14 , 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT245," NT245 Nuffield Health, York Hospital ", -   , -   , -   , -   , -   , 11 , 106 , -   , -   , -   , -   , * , 380 , -   , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT332, NT332 Spire Leeds Hospital , * , 101 , -   , 28 , * , 218 , -   , 15 , 29 , 85 , 173 , 105 , 394 , 238 , -   , -   , -   , 26 , 6 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT348, NT348 Spire Elland Hospital , -   , 55 , -   , * , -   , 135 , -   , * , 47 , -   , 102 , 65 , 561 , 73 , -   , -   , * , 10 , * , 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT349, NT349 Spire Longlands Consulting Rooms , -   , * , -   , -   , -   , 21 , -   , -   , 8 , -   , 134 , 9 , 204 , 27 , -   , -   , -   , 14 , * , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT350, NT350 Spire Methley Park Hospital , * , 65 , * , * , -   , 106 , -   , * , 133 , * , 345 , 30 , 545 , 210 , -   , -   , * , 23 , 8 , 26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT351, NT351 Spire Hull and East Riding Hospital , 8 , 243 , -   , 9 , -   , 64 , * , * , 167 , * , 335 , 298 ," 2,055 ", * , -   , -   , * , 54 , 17 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT440, NT440 BMI - Thornbury Hospital , * , 22 , * , -   , * , 34 , -   , -   , 118 , -   , 210 , 21 , 48 , 138 , -   , -   , * , 28 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT447, NT447 BMI The Duchy Hospital , -   , -   , -   , -   , -   , 6 , -   , -   , -   , 6 , 73 , * , 220 , 43 , -   , -   , -   , 29 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT448, NT448 BMI The Huddersfield Hospital , -   , * , * , -   , * , 26 , * , -   , 15 , -   , 125 , * , 321 , 151 , -   , -   , -   , 41 , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP23, NTP23 Eccleshill NHS Treatment Centre , * , 73 , 15 , -   , -   , 95 , * , * , 162 , -   , 977 , 201 , 247 , 248 , -   , -   , * , 231 , 8 , 126 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTE03, NTE03 Claremont Hospital , -   , * , * , * , -   , 69 , 81 , 23 , 123 , 76 , 378 , 22 ," 1,556 ", 271 , -   , -   , 8 , 347 , * , 62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC14, NVC14 Park Hill Hospital , * , * , -   , -   , * , 17 , -   , -   , -   , -   , 18 , 9 , 288 , * , -   , -   , 7 , -   , 8 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC20, NVC20 The Yorkshire Clinic , 20 , 559 , * , 30 , * , 167 , 688 , 75 , 313 , 190 ," 1,370 ", 328 ," 2,554 ", 716 , -   , -   , 20 , 403 , 51 , 210 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC28, NVC28 Clifton Park NHS Treatment Centre , -   , * , -   , -   , -   , 175 , -   , -   , -   , -   , -   , * ," 2,263 ", -   , -   , -   , * , 22 , 27 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY601, NY601 Pain Management Solutions (Oaks Park) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAE, RAE Bradford Teaching Hospitals NHS Foundation Trust ," 1,639 "," 10,648 "," 2,152 "," 1,645 ", 719 ," 1,518 "," 4,909 "," 1,059 "," 6,589 "," 7,173 "," 14,597 "," 2,723 "," 7,902 "," 5,734 "," 12,905 "," 1,821 ", 615 ," 14,001 "," 8,437 "," 8,170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCB, RCB York Teaching Hospital NHS Foundation Trust , 941 ," 6,972 "," 2,270 "," 2,197 ", 280 ," 1,253 "," 3,185 ", 639 ," 4,598 "," 4,352 "," 9,607 "," 1,219 "," 5,716 "," 4,959 "," 6,579 ", 877 , 225 ," 11,811 "," 5,176 "," 6,984 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC, RCC Scarborough and North East Yorkshire Health Care NHS Trust , 650 ," 4,684 "," 1,221 ", 606 , 175 , 885 ," 2,189 ", 241 ," 2,985 "," 2,582 "," 6,234 ", 603 ," 3,850 "," 2,614 "," 3,404 ", 600 , 100 ," 3,868 "," 2,623 "," 3,109 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCD, RCD Harrogate and District NHS Foundation Trust , 777 ," 6,637 ", 661 , 597 , 246 , 920 ," 3,836 ", 244 ," 3,503 "," 2,401 "," 5,907 ", 620 ," 3,530 "," 2,829 "," 2,995 ", 735 , 227 ," 4,524 "," 2,436 "," 3,435 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF, RCF Airedale NHS Foundation Trust ," 1,051 "," 6,723 "," 1,123 ", 986 , 260 , 864 , 870 , 173 ," 3,058 "," 3,035 "," 6,240 ", 806 ," 2,598 "," 4,019 "," 7,812 ", 385 , 118 ," 5,520 "," 2,697 "," 5,462 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCU, RCU Sheffield Children's NHS Foundation Trust ," 1,479 "," 2,223 ", 531 , 506 , 64 , 839 , 502 , 597 , 75 ," 3,273 "," 3,496 ", 575 ," 1,041 "," 1,028 ", -   , 476 ," 2,003 "," 2,988 "," 2,085 "," 2,778 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF, RFF Barnsley Hospital NHS Foundation Trust ," 1,119 "," 4,951 "," 1,126 "," 1,142 ", 350 , 845 , 69 , 434 ," 3,992 "," 4,732 "," 8,289 "," 1,769 "," 2,880 "," 3,709 "," 7,713 ", 621 , 125 ," 7,616 "," 3,705 "," 5,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFR, RFR The Rotherham NHS Foundation Trust ," 1,063 "," 4,917 "," 1,345 ", 757 , 392 ," 1,194 "," 7,035 ", 429 ," 3,919 "," 4,979 "," 10,956 "," 1,469 "," 4,824 "," 6,372 "," 10,019 ", 766 , 245 ," 8,173 "," 4,948 "," 5,129 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGD, RGD Leeds Partnerships NHS Foundation Trust , -   , * , -   , -   ," 1,504 ", 67 , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   , 15 , -   , 333 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHQ, RHQ Sheffield Teaching Hospitals NHS Foundation Trust ," 1,891 "," 38,367 "," 3,788 "," 2,792 ", 893 ," 5,579 "," 8,323 ", 540 ," 16,884 "," 8,226 "," 24,883 "," 3,518 "," 12,858 "," 11,720 "," 15,208 "," 3,057 "," 1,183 "," 15,511 "," 10,182 "," 9,121 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL-X, RJL-X Northern Lincolnshire and Goole Hospitals NHS Foundation Trust ," 1,492 "," 11,412 "," 2,162 ", 946 , 279 ," 1,670 "," 5,045 ", 501 ," 5,612 "," 5,416 "," 14,226 "," 1,227 "," 6,877 "," 5,337 "," 9,100 "," 1,087 ", 241 ," 12,829 "," 5,410 "," 9,445 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP5, RP5 Doncaster and Bassetlaw Hospitals NHS Foundation Trust ," 1,875 "," 7,159 "," 2,198 "," 1,481 ", 581 ," 1,609 "," 5,983 ", 897 ," 6,913 "," 8,017 "," 14,997 "," 1,989 "," 11,667 "," 5,769 "," 9,522 "," 2,233 ", 294 ," 13,350 "," 8,011 "," 7,271 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR8, RR8 Leeds Teaching Hospitals NHS Trust ," 3,295 "," 18,248 "," 2,220 "," 4,494 "," 1,321 "," 3,644 "," 8,185 "," 1,148 "," 13,838 "," 12,052 "," 21,523 "," 4,412 "," 15,233 "," 12,019 "," 19,128 "," 1,952 "," 2,874 "," 32,039 "," 19,601 "," 18,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV9-X, RV9-X Humber NHS Foundation Trust , -   , -   , -   , -   , 726 , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , 326 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
