 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5P8 Hastings and Rother PCT , * , 97 , -   , * , 6 , 33 , * , -   , 88 , 30 , 24 , 21 , 47 , 34 , -   , -   , -   , 41 , 155 , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QA Eastern and Coastal Kent PCT , * , 21 , -   , * , * , * , * , -   , 29 , 6 , 6 , 6 , 13 , 9 , -   , -   , -   , * , 50 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" NT239 Nuffield Health, Tunbridge Wells Hospital ", -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , * , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT308 Spire Gatwick Park Hospital , -   , 61 , * , * , -   , 14 , * , -   , 21 , 14 , 143 , 27 , 153 , 18 , -   , -   , -   , 140 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT310 Spire Tunbridge Wells Hospital , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 14 , * , * , -   , 35 , -   , -   , -   , 142 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT312 Spire Alexandra Hospital , -   , * , -   , * , * , 16 , -   , -   , 17 , * , 100 , 6 , 231 , 117 , -   , -   , -   , 337 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT346 Spire St Saviours Hospital , * , * , -   , * , -   , 9 , -   , * , * , * , 107 , 6 , 460 , 173 , -   , -   , * , 23 , 15 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT408 BMI - The Chaucer Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT414 BMI - Fawkham Manor Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT438 BMI - The Somerfield Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT503 Mid Kent NHS Treatment Centre , 25 , 432 , 136 , * , * , 87 , * , * , 297 , 26 ," 2,284 ", 183 , 641 ," 1,070 ", -   , -   , 16 ," 1,756 ", 11 ," 1,052 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT602 Will Adams NHS Treatment Centre , -   , 346 , -   , -   , -   , 58 , -   , -   , * , -   , 970 , 54 , 407 , 45 , -   , -   , * , 342 , * , 264 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT604 Sussex Orthopaedic NHS Treatment Centre , -   , 87 , -   , -   , -   , 610 , -   , -   , -   , -   , -   , 27 ," 5,012 ", -   , -   , -   , * , 55 , 120 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT701 Maidstone Hospital , -   , -   , -   , -   , -   , -   , 465 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT702 St Martin's Hospital , -   , -   , -   , -   , -   , -   , 366 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTH03 St Saviour's Hospital , -   , * , -   , -   , -   , * , * , -   , -   , * , 54 , * , 85 , 25 , -   , -   , -   , * , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTY57 Benenden Hospital , * , 19 , -   , -   , -   , 14 , 51 , 48 , 6 , 102 , 102 , 9 , 46 , 149 , -   , -   , 17 , 128 , * , 45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NTYE7 The Horder Centre , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,638 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC01 Ashtead Hospital , * , 8 , * , * , * , 10 , 31 , -   , 14 , * , 226 , * , 264 , 18 , -   , -   , * , 96 , 115 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NVC11 North Downs Hospital , * , * , -   , -   , * , 11 , -   , -   , * , -   , 54 , * , 264 , 102 , -   , -   , * , 51 , 11 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RA2 Royal Surrey County Hospital NHS Trust , 678 ," 10,040 "," 1,195 ", 488 , 143 , 823 ," 2,304 ", 384 ," 2,834 "," 3,108 "," 9,807 "," 1,360 "," 3,743 "," 4,081 "," 4,346 "," 1,947 ", 360 ," 6,609 "," 3,770 "," 4,032 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RDU Frimley Park Hospital NHS Foundation Trust , 628 ," 4,582 ", 730 , 594 , 260 ," 1,202 "," 4,144 ", 490 ," 4,358 "," 3,818 "," 8,947 "," 1,924 "," 10,088 "," 6,222 "," 6,419 ", 767 , 329 ," 8,734 "," 4,879 "," 6,659 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RN7-X Dartford and Gravesham NHS Trust , 749 ," 3,013 ", 680 , 536 , 209 , 802 , 53 , 59 ," 3,206 "," 2,600 "," 6,230 ", 845 ," 3,544 "," 4,206 "," 4,370 ", 574 , 110 ," 6,395 "," 3,067 "," 4,384 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPA Medway NHS Foundation Trust ," 1,225 "," 3,341 ", 593 , 792 , 799 , 872 , 75 , 913 ," 4,720 "," 5,607 "," 6,315 "," 1,398 "," 4,510 "," 5,600 "," 6,207 "," 1,283 ", 568 ," 7,363 "," 5,630 "," 6,151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPC Queen Victoria Hospital NHS Foundation Trust , 45 ," 2,444 ", * , 43 , * ," 1,889 "," 1,978 ", 66 , 83 , 164 ," 2,347 "," 1,356 ", 943 , 379 , -   , -   , 439 , 168 ," 5,044 ", 799 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPL Worthing and Southlands Hospitals NHS Trust , 641 ," 8,086 "," 1,632 ", 800 , 159 ," 1,029 "," 3,851 ", 390 ," 4,694 "," 3,283 "," 7,766 ", 857 ," 4,641 "," 4,528 "," 5,405 ", 764 , 232 ," 8,350 "," 3,770 "," 5,446 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPR-X Royal West Sussex NHS Trust , 498 ," 4,382 ", 816 , 865 , 393 ," 1,390 ", 76 , 67 ," 4,260 "," 2,412 "," 6,337 "," 1,016 "," 4,313 "," 3,226 "," 3,781 "," 1,651 ", 155 ," 5,745 "," 3,995 "," 2,313 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTK Ashford and St Peter'S Hospitals NHS Trust , 814 ," 5,354 ", 934 , 957 , 279 , 948 ," 4,191 ", 227 ," 4,485 "," 3,729 "," 9,455 "," 1,268 "," 5,594 "," 5,619 "," 5,503 "," 1,237 ", 451 ," 5,945 "," 4,115 "," 5,670 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RTP Surrey and Sussex Healthcare NHS Trust ," 1,189 "," 2,712 ", 827 , 568 , 362 ," 1,220 "," 3,162 ", 549 ," 4,514 "," 4,591 "," 8,808 "," 1,091 "," 4,629 "," 4,832 "," 6,847 "," 1,724 ", 472 ," 11,620 "," 5,516 "," 6,174 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVV East Kent Hospitals University NHS Trust ," 2,028 "," 19,640 "," 1,586 "," 1,741 "," 1,132 "," 2,733 "," 6,186 "," 1,020 "," 10,378 "," 9,364 "," 10,868 "," 3,114 "," 12,452 "," 11,638 "," 12,172 "," 1,483 ", 787 ," 16,995 "," 10,469 "," 9,427 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWF Maidstone and Tunbridge Wells NHS Trust , 726 ," 8,192 ", 744 , 845 , 300 ," 1,033 "," 5,415 ", 580 ," 5,212 "," 5,740 "," 8,522 "," 1,075 "," 6,311 "," 4,509 "," 9,824 "," 1,296 ", 550 ," 9,123 "," 7,890 "," 6,236 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RX2 Sussex Partnership NHS Foundation Trust , * , * , -   , * ," 2,872 ", 93 , * , -   , * , -   , * , -   , * , * , -   , -   , -   ," 1,188 ", * , 394 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXC East Sussex Hospitals NHS Trust ," 1,219 "," 13,150 "," 2,186 "," 1,189 ", 533 ," 2,095 "," 4,286 ", 666 ," 8,162 "," 6,175 "," 12,428 "," 2,018 "," 8,084 "," 7,256 "," 6,286 "," 2,355 ", 401 ," 13,561 "," 8,195 "," 6,058 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXH Brighton and Sussex University Hospitals NHS Trust ," 1,176 "," 8,442 "," 1,751 "," 1,551 "," 1,158 "," 2,331 "," 5,708 ", 808 ," 8,588 "," 6,425 "," 12,632 "," 1,802 "," 6,024 "," 6,759 "," 8,484 "," 1,987 ", 963 ," 13,060 "," 9,566 "," 7,090 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXX Surrey and Borders Partnership NHS Foundation Trust , -   , * , -   , -   ," 1,729 ", 77 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 162 , * , 85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RXY Kent and Medway NHS and Social Care Partnership Trust , -   , * , * , -   ," 1,948 ", 127 , -   , -   , 10 , -   , -   , -   , * , -   , -   , -   , -   , 701 , * , 251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q39 South West Strategic Health Authority ," 14,819 "," 207,203 "," 24,107 "," 20,417 "," 15,473 "," 29,821 "," 65,257 "," 9,670 "," 101,969 "," 72,358 "," 165,577 "," 30,846 "," 120,145 "," 85,517 "," 130,009 "," 23,824 "," 10,128 "," 169,096 "," 106,578 "," 110,533 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5A3 South Gloucestershire PCT , * , * , -   , 14 , * , * , * , * , 23 , * , * , * , * , 9 , -   , -   , -   , * , -   , 97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5F1 Plymouth Teaching PCT , * , 29 , 7 , 27 , 58 , 47 , * , -   , 235 , 43 , 31 , 17 , 58 , 45 , -   , -   , * , 917 , 204 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5FL Bath and North East Somerset PCT , * , 70 , 10 , 11 , 8 , 25 , -   , * , 145 , 94 , 47 , 36 , 62 , 67 , -   , -   , -   , 45 , 234 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5K3 Swindon PCT , * , 24 , -   , * , 426 , 23 , -   , -   , 162 , 62 , 22 , 24 , 33 , 42 , -   , -   , -   , 55 , 161 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QH Gloucestershire PCT , 31 , 463 , 204 , 70 , 66 , 121 , * , * , 591 , 517 , 444 , 169 , 335 , 271 ," 1,572 ", * , 10 , 809 , 601 ," 2,769 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QK Wiltshire PCT , 9 , 56 , 17 , 13 , 8 , 32 , -   , * , 195 , 77 , 29 , 32 , 60 , 70 ," 5,299 "," 2,632 ", * , 96 , 272 ," 3,553 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QL Somerset PCT , 49 , 897 , 157 , 165 , 78 , 141 , * , * , 735 , 448 , 392 , 266 , 613 , 370 , * , * , * ," 1,168 ", 919 , 128 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QM Dorset PCT , 59 , 655 , 131 , 50 , 766 , 341 , * , * , 521 , 332 ," 2,279 ", 312 , 625 , 466 , -   , -   , 15 ," 1,254 ", 571 , 756 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QN Bournemouth and Poole Teaching PCT , 6 , 39 , * , 9 , 12 , 19 , * , * , 84 , 111 , 34 , 20 , 55 , 77 , -   , -   , -   , 281 , 177 , 59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5QP Cornwall and Isles of Scilly PCT , 66 , 572 , 267 , 163 , 155 , 158 , * , * , 766 , 477 , 241 , 181 , 404 , 305 , -   , -   , * , 643 , 986 , 85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
